1,0,205.144,596.076,62.978,159.696,0.999,-1,-1,-1
1,1,1521.151,651.571,48.029,91.905,0.999,-1,-1,-1
1,2,1.761,605.032,35.133,95.836,0.582,-1,-1,-1
1,3,0.000,612.870,36.610,62.191,0.020,-1,-1,-1
2,0,364.161,596.074,72.955,158.738,1.000,-1,-1,-1
2,0,162.650,591.888,106.949,169.236,1.000,-1,-1,-1
2,1,1676.963,645.220,50.458,86.182,0.998,-1,-1,-1
3,0,514.977,592.059,95.516,157.152,1.000,-1,-1,-1
3,1,1765.592,634.224,44.110,86.581,0.992,-1,-1,-1
3,4,440.058,582.720,187.381,63.855,0.018,-1,-1,-1
4,0,461.189,599.043,90.126,148.073,1.000,-1,-1,-1
4,1,1737.574,635.808,45.904,88.052,0.994,-1,-1,-1
5,0,249.603,606.173,76.068,149.662,1.000,-1,-1,-1
5,1,1578.209,649.830,50.043,95.052,0.999,-1,-1,-1
6,0,144.948,590.724,96.027,169.736,1.000,-1,-1,-1
6,1,1502.760,653.017,37.510,93.474,0.999,-1,-1,-1
7,0,58.422,593.563,106.456,170.210,1.000,-1,-1,-1
7,1,1420.602,658.227,37.599,85.751,0.996,-1,-1,-1
8,0,49.323,594.399,93.359,170.705,1.000,-1,-1,-1
8,1,1601.251,651.752,44.766,92.729,0.999,-1,-1,-1
9,0,282.969,601.381,77.612,156.855,1.000,-1,-1,-1
9,1,1724.880,640.653,41.255,82.729,0.995,-1,-1,-1
9,2,310.556,599.421,47.275,90.734,0.040,-1,-1,-1
10,0,149.028,592.416,74.955,169.264,0.999,-1,-1,-1
10,0,330.751,601.064,61.826,155.751,0.999,-1,-1,-1
10,1,1643.508,650.965,56.082,87.253,0.997,-1,-1,-1
10,2,351.730,601.940,41.494,104.172,0.026,-1,-1,-1
11,0,119.837,601.069,51.844,153.691,1.000,-1,-1,-1
11,1,1449.650,656.284,40.474,85.894,0.999,-1,-1,-1
12,0,354.329,605.680,93.152,152.259,1.000,-1,-1,-1
12,0,512.732,594.292,57.270,157.722,1.000,-1,-1,-1
12,1,1752.549,631.515,49.109,88.768,0.995,-1,-1,-1
13,0,288.979,608.989,109.413,142.629,1.000,-1,-1,-1
13,1,1624.300,648.035,55.850,94.558,0.999,-1,-1,-1
14,0,204.950,598.112,104.006,158.199,1.000,-1,-1,-1
14,1,1551.915,653.957,40.538,90.317,0.999,-1,-1,-1
15,0,41.331,590.883,99.484,169.796,1.000,-1,-1,-1
15,1,1391.464,652.664,46.847,93.725,0.999,-1,-1,-1
16,0,241.763,613.588,97.965,142.872,1.000,-1,-1,-1
16,0,433.154,598.284,48.345,152.523,0.999,-1,-1,-1
16,1,1714.190,639.897,40.592,86.930,0.995,-1,-1,-1
17,0,126.312,587.386,91.762,171.556,1.000,-1,-1,-1
17,1,1473.338,649.956,44.645,93.036,0.999,-1,-1,-1
18,0,377.740,598.220,97.654,154.457,1.000,-1,-1,-1
18,1,1696.787,635.926,47.082,93.488,0.999,-1,-1,-1
